date,year,month,day,previous,open_price,first_trade,high,low,close,value,index_individual,offer,bid
2015-01-02,2015,1,2,2865.0,2885.0,2885.0,2885.0,2850.0,2860.0,54460608000.0,1503.0,2860.0,2855.0
2015-01-05,2015,1,5,2860.0,2850.0,2845.0,2850.0,2820.0,2835.0,141561289500.0,1489.9,2835.0,2830.0
2015-01-06,2015,1,6,2835.0,2810.0,2805.0,2835.0,2800.0,2815.0,135292633500.0,1479.4,2825.0,2815.0
2015-01-07,2015,1,7,2815.0,2865.0,2865.0,2870.0,2795.0,2810.0,197296313000.0,1476.7,2815.0,2810.0
2015-01-08,2015,1,8,2810.0,2840.0,2830.0,2845.0,2825.0,2835.0,160180801500.0,1489.9,2835.0,2830.0
2015-01-09,2015,1,9,2835.0,2840.0,2845.0,2865.0,2840.0,2860.0,203877965500.0,1503.0,2860.0,2850.0
2015-01-12,2015,1,12,2860.0,2840.0,2840.0,2855.0,2835.0,2835.0,176374250500.0,1489.9,2840.0,2835.0
2015-01-13,2015,1,13,2835.0,2830.0,2830.0,2845.0,2825.0,2840.0,181722930500.0,1492.5,2840.0,2835.0
2015-01-14,2015,1,14,2840.0,2845.0,2845.0,2845.0,2825.0,2825.0,112402597000.0,1484.6,2830.0,2825.0
2015-01-15,2015,1,15,2825.0,2835.0,2835.0,2840.0,2810.0,2830.0,120306022500.0,1487.2,2835.0,2830.0
2015-01-16,2015,1,16,2830.0,2845.0,2840.0,2845.0,2825.0,2845.0,70075803000.0,1495.1,2845.0,2830.0
2015-01-19,2015,1,19,2845.0,2850.0,2850.0,2855.0,2845.0,2855.0,71478876000.0,1500.4,2855.0,2850.0
2015-01-20,2015,1,20,2855.0,2860.0,2860.0,2900.0,2845.0,2900.0,185395770000.0,1524.0,2900.0,2870.0
2015-01-21,2015,1,21,2900.0,2900.0,2900.0,2920.0,2890.0,2915.0,208061732500.0,1531.9,2915.0,2905.0
2015-01-22,2015,1,22,2915.0,2925.0,2925.0,2930.0,2870.0,2880.0,171068877000.0,1513.5,2880.0,2875.0
2015-01-23,2015,1,23,2880.0,2900.0,2900.0,2905.0,2870.0,2890.0,249247247000.0,1518.8,2890.0,2885.0
2015-01-26,2015,1,26,2890.0,2895.0,2890.0,2895.0,2795.0,2820.0,561791994000.0,1482.0,2820.0,2805.0
2015-01-27,2015,1,27,2820.0,2820.0,2820.0,2835.0,2780.0,2830.0,333259809000.0,1487.2,2830.0,2825.0
2015-01-28,2015,1,28,2830.0,2840.0,2835.0,2855.0,2825.0,2845.0,296680317000.0,1495.1,2845.0,2840.0
2015-01-29,2015,1,29,2845.0,2855.0,2855.0,2865.0,2845.0,2860.0,134401266500.0,1503.0,2860.0,2855.0
2015-01-30,2015,1,30,2860.0,2875.0,2875.0,2875.0,2830.0,2830.0,228164482000.0,1487.2,2845.0,2830.0
2015-02-02,2015,2,2,2830.0,2830.0,2830.0,2830.0,2800.0,2805.0,353574173500.0,1474.1,2810.0,2805.0
2015-02-03,2015,2,3,2805.0,2825.0,2825.0,2825.0,2805.0,2825.0,207255738000.0,1484.6,2825.0,2820.0
2015-02-04,2015,2,4,2825.0,2850.0,2845.0,2850.0,2830.0,2845.0,313155417000.0,1495.1,2845.0,2840.0
2015-02-05,2015,2,5,2845.0,2840.0,2830.0,2845.0,2800.0,2815.0,360490999500.0,1479.4,2815.0,2810.0
2015-02-06,2015,2,6,2815.0,2820.0,2820.0,2845.0,2805.0,2830.0,251726988000.0,1487.2,2830.0,2815.0
2015-02-09,2015,2,9,2830.0,2830.0,2835.0,2875.0,2820.0,2860.0,283093646500.0,1503.0,2860.0,2855.0
2015-02-10,2015,2,10,2860.0,2875.0,2875.0,2875.0,2835.0,2845.0,200616186500.0,1495.1,2845.0,2840.0
2015-02-11,2015,2,11,2845.0,2860.0,2860.0,2870.0,2850.0,2860.0,271668613000.0,1503.0,2865.0,2860.0
2015-02-12,2015,2,12,2860.0,2865.0,2870.0,2905.0,2860.0,2895.0,382402363000.0,1521.4,2900.0,2890.0
2015-02-13,2015,2,13,2895.0,2915.0,2915.0,3020.0,2915.0,2980.0,543102569500.0,1566.1,2980.0,2975.0
2015-02-16,2015,2,16,2980.0,2970.0,2965.0,2995.0,2880.0,2890.0,293913816000.0,1518.8,2890.0,2885.0
2015-02-17,2015,2,17,2890.0,2870.0,2890.0,2905.0,2870.0,2895.0,121245345000.0,1521.4,2895.0,2890.0
2015-02-18,2015,2,18,2895.0,2915.0,2910.0,2925.0,2890.0,2895.0,166754464000.0,1521.4,2900.0,2895.0
2015-02-20,2015,2,20,2895.0,2920.0,2920.0,2940.0,2890.0,2890.0,198837166000.0,1518.8,2895.0,2890.0
2015-02-23,2015,2,23,2890.0,2920.0,2920.0,2925.0,2900.0,2910.0,198304353500.0,1529.3,2910.0,2905.0
2015-02-24,2015,2,24,2910.0,2900.0,2900.0,2935.0,2890.0,2905.0,189768773000.0,1526.7,2905.0,2900.0
2015-02-25,2015,2,25,2905.0,2920.0,2920.0,2970.0,2910.0,2970.0,299578820500.0,1560.8,2970.0,2960.0
2015-02-26,2015,2,26,2970.0,2955.0,2955.0,2990.0,2945.0,2975.0,257881641000.0,1563.4,2980.0,2975.0
2015-02-27,2015,2,27,2975.0,2985.0,2990.0,2990.0,2935.0,2935.0,262045268500.0,1542.4,2945.0,2935.0
2015-03-02,2015,3,2,2935.0,2945.0,2945.0,2960.0,2935.0,2950.0,337481956500.0,1550.3,2950.0,2945.0
2015-03-03,2015,3,3,2950.0,2960.0,2960.0,2965.0,2930.0,2945.0,230879467500.0,1547.7,2945.0,2940.0
2015-03-04,2015,3,4,2945.0,2945.0,2945.0,2945.0,2900.0,2910.0,170836162500.0,1529.3,2915.0,2910.0
2015-03-05,2015,3,5,2910.0,2910.0,2910.0,2945.0,2900.0,2910.0,213848167000.0,1529.3,2910.0,2905.0
2015-03-06,2015,3,6,2910.0,2945.0,2945.0,2985.0,2935.0,2985.0,385269663500.0,1568.7,2985.0,2970.0
2015-03-09,2015,3,9,2985.0,2975.0,2970.0,2975.0,2915.0,2945.0,250461057000.0,1547.7,2950.0,2945.0
2015-03-10,2015,3,10,2945.0,2925.0,2925.0,2970.0,2915.0,2945.0,251444360500.0,1547.7,2955.0,2945.0
2015-03-11,2015,3,11,2945.0,2940.0,2940.0,2975.0,2930.0,2940.0,262684823500.0,1545.1,2945.0,2940.0
2015-03-12,2015,3,12,2940.0,2925.0,2925.0,2945.0,2920.0,2925.0,160757580000.0,1537.2,2935.0,2925.0
2015-03-13,2015,3,13,2925.0,2960.0,2960.0,2980.0,2935.0,2955.0,238557160500.0,1552.9,2960.0,2955.0
2015-03-16,2015,3,16,2955.0,2945.0,2945.0,2995.0,2945.0,2975.0,196725696500.0,1563.4,2980.0,2975.0
2015-03-17,2015,3,17,2975.0,2980.0,2980.0,2995.0,2950.0,2955.0,293563085500.0,1552.9,2965.0,2955.0
2015-03-18,2015,3,18,2955.0,2940.0,2940.0,2965.0,2935.0,2950.0,180440406000.0,1550.3,2950.0,2945.0
2015-03-19,2015,3,19,2950.0,2965.0,2970.0,2970.0,2940.0,2950.0,357076054000.0,1550.3,2955.0,2950.0
2015-03-20,2015,3,20,2950.0,2930.0,2930.0,2945.0,2915.0,2920.0,358967261000.0,1534.5,2935.0,2920.0
2015-03-23,2015,3,23,2920.0,2940.0,2940.0,2940.0,2920.0,2920.0,135302218000.0,1534.5,2925.0,2920.0
2015-03-24,2015,3,24,2920.0,2920.0,2920.0,2940.0,2915.0,2920.0,247101201000.0,1534.5,2920.0,2915.0
2015-03-25,2015,3,25,2920.0,2920.0,2920.0,2920.0,2870.0,2880.0,261121828000.0,1513.5,2890.0,2880.0
2015-03-26,2015,3,26,2880.0,2850.0,2860.0,2860.0,2805.0,2810.0,407597939500.0,1476.7,2815.0,2810.0
2015-03-27,2015,3,27,2810.0,2785.0,2810.0,2855.0,2770.0,2810.0,251096697000.0,1476.7,2825.0,2810.0
2015-03-30,2015,3,30,2810.0,2840.0,2840.0,2895.0,2835.0,2865.0,269958332500.0,1505.6,2870.0,2865.0
2015-03-31,2015,3,31,2865.0,2895.0,2895.0,2920.0,2850.0,2890.0,440635860000.0,1518.8,2890.0,2885.0
2015-04-01,2015,4,1,2890.0,2885.0,2885.0,2890.0,2810.0,2835.0,346148919000.0,1489.9,2835.0,2830.0
2015-04-02,2015,4,2,2835.0,2815.0,2835.0,2850.0,2815.0,2825.0,164992769000.0,1484.6,2825.0,2820.0
2015-04-06,2015,4,6,2825.0,2845.0,2845.0,2850.0,2825.0,2835.0,106637490000.0,1489.9,2835.0,2830.0
